event_name,category,partiful_url,status,account,venue_revealed,next_step,notes
4am IRR - for the inner IRR nerd in you!,test,https://partiful.com/e/iyeVYNaUJxZqidnHixwa,registered,techweek2026@pavlovcik.com,,On the list; monitor for updates,Submitted before SIGNUP_AGENT_HANDOFF.md was read; Partiful live sync 2026-05-12: rsvpStatus=APPROVED; count=2; plusOne=TBD; approved 2026-05-11 18:27 ET.
Beyond the Spec Masterclass: Engineering in the Age of Agents,primary,https://partiful.com/e/FHiuNwzr13e3YBI4ssUX,applied,techweek2026@pavlovcik.com,,Wait for host approval,Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.
From Vibe Coding to AI-Driven Development,primary,https://partiful.com/e/xowd9F3kB7mPFN1luUwY,applied,techweek2026@pavlovcik.com,"WeWork, 135 Madison Ave, New York, NY",Wait for host approval,Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=2; plusOne=TBD.
Open Source Must Win,primary,https://partiful.com/e/OF1vP5L8dtXKRtInyWKs?c=s6u4EYds,registered,techweek2026@pavlovcik.com,"New York, NY",On the list; monitor for updates,Submitted via Partiful API; Partiful live sync 2026-05-12: rsvpStatus=APPROVED; count=2; plusOne=TBD; approved 2026-05-10 11:16 ET.
How to Write a Book on AI in Enterprise SDLC While Patterns Keep Changing,primary,https://partiful.com/e/M7pXmV8sOXT11yHb9pKw,registered,techweek2026@pavlovcik.com,"New York, NY",On the list; monitor for updates,Submitted via Partiful API; Partiful live sync 2026-05-12: rsvpStatus=APPROVED; count=1; plusOne=none; approved 2026-05-11 10:21 ET.
From Copilot to Control Plane - Visdom,primary,https://partiful.com/e/bn5h1g13xzOV6R5XkLaE,applied,techweek2026@pavlovcik.com,,Wait for host approval,Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.
Future of DevEx,primary,https://partiful.com/e/7DYGSiY1WUuRSvEnD5gp?c=aQ_TnSt9,applied,techweek2026@pavlovcik.com,,Wait for host approval,Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.
Building secure AI for your data: DeepFellow Demo + Q&A,primary,https://partiful.com/e/4HvzWY1VZlHgK21fMBUz?c=g5NbnbjN,applied,techweek2026@pavlovcik.com,,Wait for host approval,Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.
The Future of Coding Agents and IDE,primary,https://partiful.com/e/1N6CtiCpYquktoTh5NUm,registered,techweek2026@pavlovcik.com,"1155 6th Ave, New York, NY 10036, 22nd Floor",On the list; monitor for updates,Submitted via Partiful API; Partiful live sync 2026-05-12: rsvpStatus=APPROVED; count=2; plusOne=TBD; approved 2026-05-11 00:23 ET.
Fireside chat - When coding agents are the user?,primary,https://partiful.com/e/E8NhJNHWGhMetLlrFvQ7,registered,techweek2026@pavlovcik.com,"New York, NY",Registered; monitor for updates,Submitted via Partiful API; rsvpStatus=GOING; count=2; plusOne=TBD.
MCP in the Wild: Panel & Night of Networking,primary,https://partiful.com/events/6ZuudQBBZXcMNjdMynJ2,applied,techweek2026@pavlovcik.com,,Wait for host approval,Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.
Shipping Faster with AI Coding Agents: What's Working and What's Not,primary,https://partiful.com/e/5K5c4eODrGPKME7or20H,applied,techweek2026@pavlovcik.com,"New York, NY",Wait for host approval,Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.
Bare Metal Happy Hour: Autonomous Systems & Agent Fleet Orchestration,primary,https://partiful.com/e/jkjGahQgmH9PLIxjfTFt,applied,techweek2026@pavlovcik.com,,Wait for host approval,Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.
Enterprise AI Happy Hour,apply,https://partiful.com/e/FSzOO6xPn11iqxVdtQ9j?,applied,techweek2026@pavlovcik.com,,Wait for host approval,Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.
Anthropic Founder Salon: Inside the AI-Native Era,apply,https://partiful.com/e/titPml1Nw0DKwGl9B6CF,applied,techweek2026@pavlovcik.com,"New York, NY - Chelsea neighborhood (venue details upon confirmation)",Wait for host approval,Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.
Agent Harnesses: What It Takes to Make AI Agents Work in the Enterprise,apply,https://partiful.com/e/2NP0rZW8BmdGAGUOEhGP?f=1,applied,techweek2026@pavlovcik.com,,Wait for host approval,Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.
The CTO Mixer: Humanizing Tech | Happy Hour,apply,https://partiful.com/e/h1hGv0PkskcagJOv5M9K,registered,techweek2026@pavlovcik.com,"Midtown, Manhattan, New York, NY",On the list; monitor for updates,Partiful page shows ON THE LIST as of 2026-05-10. Previously submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.
The Tech Leaders Suite,apply,https://partiful.com/e/UhyErPPxuo2vELIutdGj?,applied,techweek2026@pavlovcik.com,,Wait for host approval,Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.
Engineering Leaders After Hours: A Build and Ship Cocktail Competition,apply,https://partiful.com/e/bETmU06uq4TtORng6I1l,waitlisted,techweek2026@pavlovcik.com,"Bar Chef, 21 W 35th St, FL 3, New York, NY 10001",Monitor waitlist / host approval,Submitted via Partiful API; Partiful live sync 2026-05-12: rsvpStatus=WAITLISTED_FOR_APPROVAL; count=1; plusOne=none; moved to waitlist 2026-05-11 10:32 ET.
Stop Making AI Guess: When Your Codebase Becomes the Spec,apply,https://partiful.com/e/X0u5GrmzvIUTrjoAOgVm,registered,techweek2026@pavlovcik.com,,Registered; monitor for updates,Submitted via Partiful API; rsvpStatus=GOING; count=2; plusOne=TBD.
AI BUILDERS DINNER,apply,https://partiful.com/e/idltitmjA4ZzL9IuK0Y6,registered,techweek2026@pavlovcik.com,"Flatiron, Manhattan, New York, NY",On the list; monitor for updates,Submitted via Partiful API; Partiful live sync 2026-05-12: rsvpStatus=APPROVED; count=1; plusOne=none; approved 2026-05-10 11:04 ET.
YouCode AI Salon,apply,https://partiful.com/e/kvGpuFMeACW7ZWPYtxTP,applied,techweek2026@pavlovcik.com,"New York, NY",Wait for host approval,Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.
Operating MCP,backup,https://partiful.com/e/5vHvRPI0VlMQwOmQadCN,waitlisted,techweek2026@pavlovcik.com,TBC,Monitor waitlist / host approval,Submitted via Partiful API; rsvpStatus=WAITLIST; count=2; plusOne=TBD.
Cloudflare + Shopify: Build for the Agent Era,backup,https://partiful.com/e/jytNb4IdG0HxwJnqDSgf,registered,techweek2026@pavlovcik.com,"Shopify New York, 131 Greene St, New York, NY 10012",On the list; monitor for updates,Submitted via Partiful API; Partiful live sync 2026-05-12: rsvpStatus=APPROVED; count=1; plusOne=none; approved 2026-05-12 12:57 ET.
Camp AI: Agents at Work,backup,https://partiful.com/e/Fp5STyPH0McEt0awlWFD,applied,techweek2026@pavlovcik.com,"Datadog - Headquarters, 620 Eighth Ave, FL 45, New York, NY",Wait for host approval,Submitted via Partiful API after user confirmed age 21+; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.
Agents at Scale,backup,https://partiful.com/e/6BlGFmwIdpyndqyLYS2v?c=bv5YqCoL,applied,techweek2026@pavlovcik.com,,Wait for host approval,Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.
