tier,action,date,weekday,time,location,name,host_company,all_hosts,event_url,why,notes
A,Apply first,2026-06-01,Monday,12:00:00,Financial District,"If Your AI Can’t Talk and Act, It’s Broken - Agentic Voice Workshop","Cloudonix, Inc","Cloudonix, Inc",https://partiful.com/e/pxdWahJXi0EQklEuU50W,"Strong AI-agent workshop, downtown, likely technical founders/builders. Good opening for contribution workflow pain.",
A,Apply first,2026-06-01,Monday,14:00:00,Flatiron,Beyond the Spec Masterclass: Engineering in the Age of Agents,IBM,IBM,https://partiful.com/e/FHiuNwzr13e3YBI4ssUX,"Directly aligned with specs, agents, and engineering process. High-quality buyer/problem context.",
A,Apply first,2026-06-01,Monday,15:30:00,Flatiron,Context Engineering 101 Masterclass: A Practical Introduction,IBM,IBM,https://partiful.com/e/RYqG93QLhTxNOHOG7kzF,"AI engineering crowd; good fit for GitHub evidence, reviews, specs, and manager packets.",
A,Apply first,2026-06-01,Monday,18:00:00,Lower East Side,Open Source Must Win,OPEN SOURCE WEEK,OPEN SOURCE WEEK,https://partiful.com/e/OF1vP5L8dtXKRtInyWKs?c=s6u4EYds,"Very aligned with maintainers, open-source incentives, contribution credit, and reward distribution.",
A,Apply first,2026-06-01,Monday,18:30:00,Financial District,NYC B2B: AI Founders & Investors Mixer,NYC B2B,NYC B2B,https://partiful.com/e/oQvmxTsHOVayx47ok3li?c=0hT1WkMm,"Convenient FiDi founder/customer density. Broad, but good for local founder pipeline.",
B,Morning optional,2026-06-02,Tuesday,08:30:00,Financial District,The AI Founder Playbook: Breakfast & Panel @ Microsoft,Microsoft,Microsoft,https://partiful.com/e/jYCTZCrfy1mYhHbJm771?,"Early, but FiDi and likely strong founder signal.",
A,Apply first,2026-06-02,Tuesday,10:00:00,Nomad,Founders & Executives: Move 5x Faster When Your Entire Team Vibe-Codes,Myop ltd,Myop ltd,https://partiful.com/e/CFjTRkUlOshQzLTgXxxX,Excellent wedge: team-level AI coding adoption and management pain.,
B,Alternate,2026-06-02,Tuesday,14:00:00,Financial District,McKinsey x NY Tech Week panel: What actually drives AI value,McKinsey & Company,McKinsey & Co,https://partiful.com/e/zejQuL4V8LSSfgC67L5g?c=fMGzpryH,"Enterprise AI value crowd; less devtools-specific, but possible buyer executives.",
A,Apply first,2026-06-02,Tuesday,15:00:00,Tribeca,AI Founder + Engineer Happy Hour,Tower Research Ventures,Tower Research Ventures,https://partiful.com/e/bwI0kidjjzif7TcWtxYb,Founder + engineer overlap; likely good early-week networking with technical buyers.,
A,Apply first,2026-06-02,Tuesday,16:00:00,Midtown,Operating MCP,Dell Technologies Capital,Dell Technologies Capital; NVIDIA,https://partiful.com/e/5vHvRPI0VlMQwOmQadCN,Infra/AI protocol crowd; likely technical founders and platform-minded people.,
A,Apply first,2026-06-02,Tuesday,17:30:00,SoHo,🗽WorkOS + Postman Agents & APIs Demo Night,Postman,Postman; WorkOS,https://partiful.com/e/XqIBMZmB4oubCZWFP2Sl,Devtools/API crowd. Strong fit for engineering managers and platform teams.,
A,Apply first,2026-06-02,Tuesday,18:00:00,SoHo,Future of DevEx,Deskree,Desktree; Tavily; PostHog; Convex,https://partiful.com/e/7DYGSiY1WUuRSvEnD5gp?c=aQ_TnSt9,One of the clearest buyer-audience matches: DevEx and engineering workflow leaders.,
A,Apply first,2026-06-02,Tuesday,18:00:00,SoHo,Cloudflare + Shopify: Build for the Agent Era,Cloudflare,Cloudflare; Shopify,https://partiful.com/e/jytNb4IdG0HxwJnqDSgf,Agent-era infra/platform crowd; strong customer discovery venue.,
A,Apply first,2026-06-02,Tuesday,18:00:00,SoHo,Enterprise AI Happy Hour,Credal,Credal,https://partiful.com/e/FSzOO6xPn11iqxVdtQ9j?,Enterprise AI operators and buyers; good if you want customer discovery over founder density.,
A,Apply first,2026-06-02,Tuesday,18:30:00,Flatiron,A Security Leaders Dinner,Konvu,Konvu,https://partiful.com/e/c4CcsNTOnQyeIn1kpSW1,High-signal small-room format with engineering/security leaders; may be harder to get into.,
B,Alternate,2026-06-02,Tuesday,09:30:00,Chinatown,Founders/VCs Breakfast Mixer w/ Qapita & RemoFirst,Qapita,Qapita; Remofirst,https://partiful.com/e/hqc1Whoh5lLOU4ORC6tk,"Good founder density and close to FiDi, but less technical/buyer-specific.",
B,Alternate,2026-06-02,Tuesday,08:30:00,Union Square,🍩 Bytes & Bites early stage b2b kick off breakfast,Laconia Capital,Laconia Capital,https://partiful.com/e/AmtcmAOuDjLnq4OXzR3G,"B2B founder density, but early and less specific to engineering leaders.",
A,Apply first,2026-06-03,Wednesday,13:30:00,Chelsea,Anthropic Founder Salon: Inside the AI-Native Era,Anthropic,Anthropic,https://partiful.com/e/titPml1Nw0DKwGl9B6CF,High-signal AI-native founder audience; strong strategic networking.,
A,Apply first,2026-06-03,Wednesday,14:00:00,Midtown,The Future of Coding Agents and IDE,Generative IDE,Generative IDE; Perkins Coie,https://partiful.com/e/1N6CtiCpYquktoTh5NUm,"Very aligned with devtools, AI coding, and engineering workflow.",
A,Apply first,2026-06-03,Wednesday,16:00:00,Nomad,Fireside chat - When coding agents are the user?,Tanagram.ai,Tanagram.ai; Zo Computer,https://partiful.com/e/E8NhJNHWGhMetLlrFvQ7,"Excellent conceptual fit: agents interacting with code/workflows, likely technical audience.",
A,Apply first,2026-06-03,Wednesday,17:30:00,East Village,The CTO Mixer: Humanizing Tech | Happy Hour,Devlane,Devlane; Merge Conflict,https://partiful.com/e/h1hGv0PkskcagJOv5M9K,Explicit CTO audience. Strong customer discovery even if broad.,
A,Apply first,2026-06-03,Wednesday,18:00:00,Flatiron,Coding Agents Write Code.  Remy Builds Products.,MindStudio,MindStudio; LvlUp Ventures; Sip & Scale,https://partiful.com/e/svhgMRybAh1XPlLVVXRH,AI coding/product-building audience; likely technical founders.,
A,Apply first,2026-06-03,Wednesday,18:00:00,Flatiron,Ramp x 8VC — Founders & Builders Night,Ramp,Ramp; 8VC,https://partiful.com/e/xf4L0OHJO6UHVVu3GKNN,Founders/builders night from credible hosts; good local founder networking.,
A,Apply first,2026-06-03,Wednesday,18:00:00,East Village,AI builders night,Braintrust,Braintrust,https://partiful.com/e/OeZ0CvpvEpvi9lrEYIeb?c=PzNLPo4j,Builder-heavy AI crowd. Good for founders and early customer discovery.,
A,Apply first,2026-06-03,Wednesday,18:30:00,Midtown,Agents in Production: The Memory Problem,SurrealDB,Alumni Ventures; SurrealDB,https://partiful.com/e/048KYO6HrSDLWMwlMUTm,Production AI agent infrastructure; likely engineering leaders and senior technical founders.,
A,Apply first,2026-06-03,Wednesday,18:30:00,Flatiron,Future of Voice AI - Enterprise Leader Panel,Leverage.work,Leverage,https://partiful.com/e/7Py4iwQgSRIa0GchHpCF,"Explicit enterprise leader panel. Good customer profile, though domain-specific.",
B,Alternate,2026-06-03,Wednesday,17:30:00,SoHo,When is AI Good Enough? A conversation with builders and operators,Collected Company,Collected Company,https://partiful.com/e/Vt2a2B7ibq14IWj8viCe,"Builders/operators fit, but less direct than CTO/coding-agent options.",
B,Alternate,2026-06-03,Wednesday,18:00:00,SoHo,Build Mode: How RevOps & GTM Teams Are Becoming AI-Powered Builders,HubSpot,Hubspot,https://partiful.com/events/o1qradCjiAlnUg3c6ZWj,RevOps/GTM builder crowd; customer discovery possible but less eng-manager dense.,
A,Apply first,2026-06-04,Thursday,11:00:00,Flatiron,The Future of Software Engineering in Today’s AI World,IBM,IBM,https://partiful.com/e/Rkq2hWr7bs4M3IACDacF,Very direct match to engineering leadership and AI software process.,
B,Alternate,2026-06-04,Thursday,09:30:00,Financial District,From Idea to Live MVP in 6 Hours with GitHub Copilot — $25K Azure Prize,Microsoft,Microsoft,https://partiful.com/e/8ziM85jjl6N9qzjZtFYf?,"GitHub Copilot/Microsoft angle is relevant; early and hackathon-like, so secondary.",
A,Apply first,2026-06-04,Thursday,16:00:00,SoHo,Shipping Faster with AI Coding Agents: What's Working and What's Not,Driver AI,Driver AI,https://partiful.com/e/5K5c4eODrGPKME7or20H,Excellent fit for AI coding workflow pain and engineering manager conversations.,
B,Alternate,2026-06-04,Thursday,16:30:00,Chelsea,Claude Code Hackathon - Build an Agentic Team,Elevate Online,Elevate Online; Imaginary Space,https://partiful.com/e/W1wgKUzLIYEUHksaomkD,Relevant builder event; likely more hands-on engineers than managers.,
A,Apply first,2026-06-04,Thursday,17:30:00,Flatiron,"Mobile Engineering Summit Scaling Apps with Performance, Reliability, and AI",bitdrift,bitdrift,https://partiful.com/e/xq5OTmCRLm1PKm3Una2E,Explicit engineering audience; reliability/performance managers are plausible buyers.,
A,Apply first,2026-06-04,Thursday,18:00:00,Flatiron,Managing in an AI-Native Company: Live Podcast,Prompt Engineers Society,Prompt Engineers Society; Aster AI,https://partiful.com/e/yA3gzGGSIW6kN2QOkdId?c=9Wwdi5AW,Directly speaks to manager packet / contribution evidence narrative.,
A,Apply first,2026-06-04,Thursday,18:00:00,Lower East Side,AI Builders Mixer with DigitalOcean & Techstars,DigitalOcean,DigitalOcean; Techstars,https://partiful.com/e/GNp5Np64desAmk4gUxYm,Strong founder/builder density; convenient downtown-ish.,
A,Apply first,2026-06-04,Thursday,18:30:00,Midtown,Engineering Leaders After Hours: A Build and Ship Cocktail Competition,Cloudsmith,Cloudsmith,https://partiful.com/e/bETmU06uq4TtORng6I1l,Best explicit engineering-leader buyer match on the calendar.,
A,Apply first,2026-06-04,Thursday,19:00:00,Union Square,Stop Making AI Guess: When Your Codebase Becomes the Spec,"Relevant Context, Inc.","Relevant Context, Inc.",https://partiful.com/e/X0u5GrmzvIUTrjoAOgVm,Codebase-as-spec is unusually aligned with Accolades/source-linked work evidence.,
B,Alternate,2026-06-04,Thursday,19:00:00,Flatiron,AI BUILDERS DINNER,Vibe Forward,Vibe Forward,https://partiful.com/e/idltitmjA4ZzL9IuK0Y6,"Likely high signal, but more generic than engineering-leader/codebase events.",
B,Taper option,2026-06-05,Friday,15:00:00,Lower East Side,Vibe Code 💻 & Tea 🍵: build with gemini,GDG NYC,GDG NYC; Columbia University Founders; Columbia Entrepreneurs Organization and FinOptiv AI,https://partiful.com/e/5VTezY208ZqXJI4zsvJt,Low-pressure builder event downtown; good if you still have energy Friday.,
A,Taper option,2026-06-05,Friday,17:00:00,Midtown,AI-Native Services: Why SaaS is Dead,Elysian,Elysian; Portage Ventures,https://partiful.com/e/NSLiWDiJVzPWl0DyQcDU,Good strategic SaaS/AI positioning discussion; less convenient but relevant.,
B,Taper option,2026-06-05,Friday,19:00:00,Korea Town,Voice Ai Builders & Billiards,Bespoken AI,Bespoken AI,https://partiful.com/e/OUxJyD6iKq9FxninwLD5,Casual AI builder crowd; optional social closeout.,
