open_rank,rank,tier,recommended_action,opportunity_score,practical_score,confidence,access_bucket,buyer_fit_score,product_fit_score,topic_fit_score,signal_score,location_score,schedule_score,negative_score,fit_summary,matched_signals,caveats,description_excerpt,id,name,date,time,weekday,start_datetime_local,city,location,locations,time_bucket,company,primary_host,cohosts,all_hosts,host_keys,invite_only,sponsor_tier,event_url,source_url,fetch_status,fetch_error,final_url,canonical_url,local_html_path,page_title,event_description
1,1,S,Register now,100,100,high,open_or_rsvp,42,38,32,0,2,11,0,"buyer: CTO audience, VP engineering audience, platform leadership; product: GitHub/code review evidence, manager/audit reporting, engineering productivity; topic: devtools, infra/platform, AI","CTO audience, VP engineering audience, platform leadership, senior engineers, software builders, GitHub/code review evidence, manager/audit reporting, engineering productivity, engineering workflows, AI coding workflows, specs/knowledge capture, repository/code evidence","midtown reachable; peak early-week day, afternoon","From Copilot to Control Plane: Building an AI-Native SDLC with VISDOM AI SDLC with VISDOM 2.0 Many teams start their AI journey the same way: they introduce AI coding assistants, see early excitement… and then watch usage drop and ROI disappear. In this live...",4341,From Copilot to Control Plane - Visdom,2026-06-02,16:00:00,Tuesday,2026-06-02 16:00,New York City,Midtown,Midtown,Afternoon,VirtusLab,Virtuslab z.o.o,,Virtuslab z.o.o,virtuslab-z-o-o,False,,https://partiful.com/e/bn5h1g13xzOV6R5XkLaE,https://www.tech-week.com/calendar/nyc,200,,https://partiful.com/e/bn5h1g13xzOV6R5XkLaE,https://partiful.com/e/bn5h1g13xzOV6R5XkLaE,data/source/event_pages/bn5h1g13xzOV6R5XkLaE-619249e422.html,RSVP to From Copilot to Contro… | Partiful,"From Copilot to Control Plane: Building an AI-Native SDLC with VISDOM 

AI SDLC with VISDOM 2.0

Many teams start their AI journey the same way: they introduce AI coding assistants, see early excitement… and then watch usage drop and ROI disappear. 

In this live session, together with guest speakers from leading companies, we’ll share real experiences from AI adoption - what works, what breaks, and how teams are pushing through to real results. We’ll walk through how to assess where you stand today and what it takes to make your SDLC actually ready for AI with a practical demo of the VISDOM platform.

Who should join?
CTOs, VPs of Engineering, Heads of Platform, and senior engineers responsible for developer productivity and AI adoption strategy as well as senior engineers frustrated that their AI tools work in demos but not in their CI/CD pipeline.

Why it’s worth your time?
- See how an AI-ready SDLC looks in practice (live demo)
- Understand how to assess your AI maturity step by step
- Learn how to start small, validate quickly, and evolve without big upfront risk.

What to expect?
Visdom live session & platform walkthrough
A hands-on session showing how to evaluate your AI maturity and define next steps without a big-bang transformation.
- Deep repository scanning that builds the semantic context fabric AI agents actually need - not just open files, but the full dependency and intent graph across the codebase
- Blast radius scoring on an AI-generated PR before it touches CI - catching what code review misses when your team merges 3x more than last quarter
- Governed sandbox execution with full audit trails - the missing layer between ""the AI suggested it"" and ""it's running in production""
- A live maturity assessment on a real delivery pipeline - where it stands today and the smallest concrete move that unlocks the next level

A live demo of VISDOM showing how it removes friction across context, execution, and validation, turning your SDLC into a system AI agents can reliably operate on

Speakers
Practitioners working hands-on with AI-driven delivery, developer tooling, and real-world implementation.

Bonus
We’ll be giving away signed copies of “Vibe Engineering: Best Practices, Mistakes, and Tradeoffs.”

Hosted by VirtusLab

We work with organizations from global brands (including top-tier investment banks, Databricks, Airbnb, DHL) to fast-growing startups helping build data platforms and AI systems that actually scale. At our core, we’re engineers working with engineers actively building and supporting the community through meetups, events, and shared learning.
If you're working on AI in software delivery, this is where it starts to actually work.

This event is a part of #NYTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com."
2,3,S,Register now,100,100,high,open_or_rsvp,40,16,10,13,8,13,-10,"buyer: DevEx, technical leads, technical founders; product: software work practices; topic: AI; signal: builders/operators, founders","DevEx, technical leads, technical founders, software work practices, AI, builders/operators, founders, networking format","downtown convenient; peak early-week day, evening friendly; off-ICP signals: consumer/lifestyle","The way we build software is changing faster than most of us can keep up with. If you want to see where it's headed, this event is for you. Future of DevEx series is coming back to New York for Tech Week! Join us to explore how AI is reshaping the daily reali...",4161,Future of DevEx,2026-06-02,18:00:00,Tuesday,2026-06-02 18:00,New York City,SoHo,SoHo,Evening,Deskree,Desktree,Tavily; PostHog; Convex,Desktree; Tavily; PostHog; Convex,desktree; tavily; posthog; convex,False,,https://partiful.com/e/7DYGSiY1WUuRSvEnD5gp?c=aQ_TnSt9,https://www.tech-week.com/calendar/nyc,200,,https://partiful.com/e/7DYGSiY1WUuRSvEnD5gp?c=aQ_TnSt9,https://partiful.com/e/7DYGSiY1WUuRSvEnD5gp,data/source/event_pages/7DYGSiY1WUuRSvEnD5gp-f9d9fdc70a.html,RSVP to Future of DevEx - #NYT… | Partiful,"The way we build software is changing faster than most of us can keep up with. If you want to see where it's headed, this event is for you.

Future of DevEx series is coming back to New York for Tech Week!
Join us to explore how AI is reshaping the daily reality of building software. Not just the tools, but the workflows, the rituals, the way teams write, review, ship, and maintain code. Some of it is genuinely better. Some of it is overhyped. We're here to have that honest conversation.

The evening features a series of tech talks from builders and toolmakers who are experiencing this transformation firsthand, followed by open networking with a room full of engineers and technical founders who are navigating the same thing.

Come for the conversation, stay for the drinks.

Agenda
6:00 PM: Doors open, food & drinks
6:00 - 7:00 PM: Networking with Food & Drinks
7:00 - 8:00 PM: Tech Talks from Deskree, PostHog, Tavily and Convex 
8:00 - 9:00 PM: Networking & close

Who's this for?
Engineers, technical leads, and technical founders who care about how software gets built and where it's headed.

This event is a part of #NYTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com."
3,4,S,Register now,100,100,high,open_or_rsvp,33,38,10,9,8,7,0,"buyer: CTO audience, engineering leaders; product: engineering productivity, engineering workflows, AI coding workflows; topic: AI; signal: builders/operators, founders","CTO audience, engineering leaders, engineering productivity, engineering workflows, AI coding workflows, AI, builders/operators, founders","downtown convenient; still high-density, afternoon","Join Driver AI for an exclusive evening panel during NY Tech Week, bringing together engineering leaders, investors, and operators navigating the shift to agentic development — and the real decisions that come with it. Panelists include: - Adam Tilton, CEO an...",5372,Shipping Faster with AI Coding Agents: What's Working and What's Not,2026-06-04,16:00:00,Thursday,2026-06-04 16:00,New York City,SoHo,SoHo,Afternoon,Driver AI,Driver AI,,Driver AI,driver-ai,False,,https://partiful.com/e/5K5c4eODrGPKME7or20H,https://www.tech-week.com/calendar/nyc,200,,https://partiful.com/e/5K5c4eODrGPKME7or20H,https://partiful.com/e/5K5c4eODrGPKME7or20H,data/source/event_pages/5K5c4eODrGPKME7or20H-e502feb239.html,Shipping Faster with AI Coding… | Partiful,"Join Driver AI for an exclusive evening panel during NY Tech Week, bringing together engineering leaders, investors, and operators navigating the shift to agentic development — and the real decisions that come with it.

Panelists include:
- Adam Tilton, CEO and Co-founder of Driver AI
- Matt Nassr, VP of AI & Global Data Engineering at Optiver
- Jacob Radkiewicz, CTO of ShipBob
- James Musson, VP Engineering at Lucanet

The way software gets built is changing faster than most engineering organizations can keep up. Adam and the panelists will share what it actually looks like to redesign your development process around agentic coding — the cultural shifts, the workflow changes, the necessary tools, the mistakes, and the productivity gains that make it worth it.

About Your Host
Backed by YC and Google Ventures, Driver AI is the rigorous, pre-compiled context layer that brings deterministic performance to agentic coding at scale. Learn more at driver.ai.

This event is a part of #NYTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com"
4,7,S,Register now,98,100,high,open_or_rsvp,16,16,32,13,2,11,0,"buyer: CTO audience; product: AI coding workflows; topic: devtools, infra/platform, AI; signal: builders/operators, founders","CTO audience, AI coding workflows, devtools, infra/platform, AI, enterprise, builders/operators, founders, networking format","midtown reachable; peak early-week day, afternoon","As enterprises move from AI experimentation to production, a new layer is emerging to manage how models, agents, and services interact: the Model Context Protocol (MCP). This practitioner-focused session brings together leading operators and builders to explo...",4522,Operating MCP,2026-06-02,16:00:00,Tuesday,2026-06-02 16:00,New York City,Midtown,Midtown,Afternoon,Dell Technologies Capital,Dell Technologies Capital,NVIDIA,Dell Technologies Capital; NVIDIA,dell-technologies-capital; nvidia,False,,https://partiful.com/e/5vHvRPI0VlMQwOmQadCN,https://www.tech-week.com/calendar/nyc,200,,https://partiful.com/e/5vHvRPI0VlMQwOmQadCN,https://partiful.com/e/5vHvRPI0VlMQwOmQadCN,data/source/event_pages/5vHvRPI0VlMQwOmQadCN-64d0f50b03.html,Operating MCP - #NYTechWeek | Partiful,"As enterprises move from AI experimentation to production, a new layer is emerging to manage how models, agents, and services interact: the Model Context Protocol (MCP). This practitioner-focused session brings together leading operators and builders to explore how MCP is shaping the control plane for enterprise AI, enabling secure, observable, and scalable interactions across increasingly complex systems.

The afternoon will begin with arrival and informal networking, followed by a series of live demonstrations from Tetrate, Cequence, and a select group of MCP-focused startups. Each company will showcase how they are enabling control, connectivity, and security across AI-driven environments—from API protection and service-to-service trust to managing the growing surface area of autonomous agents.

We’ll conclude with dedicated networking, offering the opportunity to engage directly with peers, founders, and practitioners navigating similar challenges in deploying AI at scale.

Audience
Senior enterprise leaders across AI, engineering, and security (CIOs, CTOs, Heads of AI, and platform/security leaders), along with a small number of investors and builders.

This event is a part of #NYTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com."
5,10,S,Register now,93,98,high,open_or_rsvp,31,0,32,9,8,9,0,"buyer: technical leads, software builders, technical founders; topic: devtools, infra/platform, AI; signal: builders/operators, founders","technical leads, software builders, technical founders, devtools, infra/platform, AI, enterprise, builders/operators, founders","downtown convenient; still high-density, evening friendly","Demo agents are easy. Production agents are a different problem. Join Modal, Braintrust, Deskree and Tavily for an evening of honest conversation about what it actually takes to ship AI agents that work reliably, at scale, and in real enterprise environments....",4191,Agents at Scale,2026-06-04,18:00:00,Thursday,2026-06-04 18:00,New York City,SoHo,SoHo,Evening,Deskree,Desktree,Tavily; Braintrust; Modal,Desktree; Tavily; Braintrust; Modal,desktree; tavily; braintrust; modal,False,,https://partiful.com/e/6BlGFmwIdpyndqyLYS2v?c=bv5YqCoL,https://www.tech-week.com/calendar/nyc,200,,https://partiful.com/e/6BlGFmwIdpyndqyLYS2v?c=bv5YqCoL,https://partiful.com/e/6BlGFmwIdpyndqyLYS2v,data/source/event_pages/6BlGFmwIdpyndqyLYS2v-17a1f1c38f.html,RSVP to Agents at Scale - #NYT… | Partiful,"Demo agents are easy. Production agents are a different problem.

Join Modal, Braintrust, Deskree and Tavily for an evening of honest conversation about what it actually takes to ship AI agents that work reliably, at scale, and in real enterprise environments. No keynotes, no product pitches. Just practitioners from leading developer tools companies talking through the problems they've actually solved.

The centerpiece is a panel featuring engineers and builders from across the agent stack. They'll dig into the parts nobody talks about in blog posts: context management, orchestration failures, eval frameworks that actually work, observability at scale, and what ""done"" looks like when an agent is customer-facing.

This event is for:
Engineers building or maintaining agent-based systems
Technical leads evaluating agent infrastructure
Technical founders navigating the same production challenges

This event is a part of #NYTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com."
6,13,S,Register now,86,91,high,open_or_rsvp,20,0,32,13,6,11,0,"buyer: technical leaders, software builders; topic: devtools, infra/platform, AI; signal: builders/operators, founders","technical leaders, software builders, devtools, infra/platform, AI, builders/operators, founders, networking format","near downtown; early-week push, evening friendly","🚨 🎟️ We’re using Luma for final ticketing + check-in. RSVP on Partiful, then complete registration + ticket purchase on Luma (tickets are equired for entry). 🎟️🔗 Luma Link -> https://luma.com/8ahr0x9z Space is limited and only confirmed ticket holders will be...",5962,Software for Hardware: The Tools Powering Robotics & Embodied AI,2026-06-01,18:00:00,Monday,2026-06-01 18:00,New York City,Union Square,Union Square,Evening,New York Robotics,New York Robotics,NY Tech Alliance,New York Robotics; NY Tech Alliance,new-york-robotics; ny-tech-alliance,False,,https://partiful.com/e/09a0qPKv0cSOIOSGxjTQ,https://www.tech-week.com/calendar/nyc,200,,https://partiful.com/e/09a0qPKv0cSOIOSGxjTQ,https://partiful.com/e/09a0qPKv0cSOIOSGxjTQ,data/source/event_pages/09a0qPKv0cSOIOSGxjTQ-5d306d68de.html,Software for Hardware: The Too… | Partiful,"🚨 🎟️ We’re using Luma for final ticketing + check-in. 

RSVP on Partiful, then complete registration + ticket purchase on Luma (tickets are equired for entry).

🎟️🔗 Luma Link -> https://luma.com/8ahr0x9z

Space is limited and only confirmed ticket holders will be admitted.

- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 

Software for Hardware: The Tools Powering Robotics & Embodied AI

As robotics and embodied AI move from research into the real world, a new generation of software is emerging to power how machines are built, deployed, and scaled.

Join New York Tech Alliance and New York Robotics for an evening exploring the digital infrastructure behind physical systems — from simulation and autonomy stacks to developer tools, data pipelines, and deployment platforms.

This event brings together founders, engineers, researchers, and industry leaders building at the intersection of software and hardware, with a focus on real-world applications across robotics and embodied AI.

Expect:
- Talks from founders and technical leaders shaping the robotics software stack
- Live demos of tools and systems powering real-world robotics deployments
- Conversations with teams building and scaling embodied AI companies
- Networking with the NYC robotics, AI, and broader tech ecosystem

Whether you’re building in robotics, exploring the space, or looking to connect with the teams shaping the future of physical AI, this is a chance to get an inside look at the tools driving the next wave of innovation.

📍 Civic Hall, Union Square
🗓️ Monday, June 1
🕕 6:00 pm

RSVP here, then complete registration + ticket purchase on Luma (required for entry): https://luma.com/8ahr0x9z

This event is a part of #NYTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com."
7,15,S,Register now,81,86,high,open_or_rsvp,0,26,23,12,6,10,0,"product: AI coding workflows, specs/knowledge capture; topic: infra/platform, AI; signal: high-signal format, founders","AI coding workflows, specs/knowledge capture, infra/platform, AI, high-signal format, founders","near downtown; peak midweek day, afternoon","More and more, the primary user of a product isn't a person — it's an LLM reading docs, calling tools, and doing work on someone's behalf. The human has moved one layer up. Zo and Tanagram are building into this shift from opposite ends. Zo gives individuals...",5529,Fireside chat - When coding agents are the user?,2026-06-03,16:00:00,Wednesday,2026-06-03 16:00,New York City,Nomad,Nomad,Afternoon,Tanagram.ai,Tanagram.ai,Zo Computer,Tanagram.ai; Zo Computer,tanagram-ai; zo-computer,False,,https://partiful.com/e/E8NhJNHWGhMetLlrFvQ7,https://www.tech-week.com/calendar/nyc,200,,https://partiful.com/e/E8NhJNHWGhMetLlrFvQ7,https://partiful.com/e/E8NhJNHWGhMetLlrFvQ7,data/source/event_pages/E8NhJNHWGhMetLlrFvQ7-893618f248.html,Fireside chat - When coding ag… | Partiful,"More and more, the primary user of a product isn't a person — it's an LLM reading docs, calling tools, and doing work on someone's behalf. The human has moved one layer up.

Zo and Tanagram are building into this shift from opposite ends. Zo gives individuals a personal AI cloud computer where agents act on their behalf. Tanagram shapes what coding agents produce inside engineering teams, turning tribal knowledge into guardrails the agent follows.

Join the founders for a candid conversation on designing for a user that reads everything, hallucinates confidently, and never sleeps — what reliably works, what reliably breaks, and how product thinking changes when tool schemas are the new UI.

This event is a part of #NYTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com."
8,16,S,Register now,80,85,high,open_or_rsvp,19,13,32,0,4,8,0,"buyer: technical leads, software builders; product: manager/audit reporting; topic: devtools, infra/platform, AI","technical leads, software builders, manager/audit reporting, devtools, infra/platform, AI","reasonable Manhattan; peak midweek day, midday","Join us for a hands-on 45-minute session on building and deploying scalable, sovereign AI systems where you hold all the keys. If you are a developer, engineering lead, or AI architect tired of black-box APIs and looking to maintain absolute data control and...",5889,Building secure AI for your data: DeepFellow Demo + Q&A,2026-06-03,12:00:00,Wednesday,2026-06-03 12:00,New York City,Chelsea,Chelsea,Noon,SIMPLITO,SIMPLITO,Polish Investment and Trade Agency - New York Office,SIMPLITO; Polish Investment and Trade Agency - New York Office,simplito; polish-investment-and-trade-agency-new-york-office,False,,https://partiful.com/e/4HvzWY1VZlHgK21fMBUz?c=g5NbnbjN,https://www.tech-week.com/calendar/nyc,200,,https://partiful.com/e/4HvzWY1VZlHgK21fMBUz?c=g5NbnbjN,https://partiful.com/e/4HvzWY1VZlHgK21fMBUz,data/source/event_pages/4HvzWY1VZlHgK21fMBUz-79a3918f24.html,Building secure AI for your d… | Partiful,"Join us for a hands-on 45-minute session on building and deploying scalable, sovereign AI systems where you hold all the keys.

If you are a developer, engineering lead, or AI architect tired of black-box APIs and looking to maintain absolute data control and sovereignty without sacrificing deployment speed, you will enjoy this demo (so much). 

Start owning your AI Processes with DeepFellow.
---
AGENDA:

* Introduction: Why privacy-first, fully auditable, and primarily self-hosted AI is the best way forward for serious engineering teams.

* Live Demo: From zero to controlled inference. Watch us spin up the infrastructure, deploy models, and dig into the core developer tools in real-time.

* Toolbox Overview: A rapid look at seamless integrations, load balancing, deep observability, and strict auditability.

* Q&A: Bring your toughest technical questions.
---

This event is a part of #NYTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com."
9,17,S,Register now,79,84,high,open_or_rsvp,20,16,10,13,6,10,0,"buyer: technical leaders, executives; product: AI coding workflows; topic: AI; signal: builders/operators, founders","technical leaders, executives, AI coding workflows, AI, builders/operators, founders, networking format","near downtown; peak midweek day, afternoon","Join founders, engineers, technical artists, executives, and builders shaping the future of 3D. From generative AI and coding agents to new workflows and production pipelines, the way people build in 3D is changing fast. Join a group of builders, technical le...",5476,Building in 3D Happy Hour,2026-06-03,16:00:00,Wednesday,2026-06-03 16:00,New York City,West Village,West Village,Afternoon,Uthana Inc,Uthana Inc,,Uthana Inc,uthana-inc,False,,https://partiful.com/e/gf8tz8WU0NoITEo7LWGf,https://www.tech-week.com/calendar/nyc,200,,https://partiful.com/e/gf8tz8WU0NoITEo7LWGf,https://partiful.com/e/gf8tz8WU0NoITEo7LWGf,data/source/event_pages/gf8tz8WU0NoITEo7LWGf-3fd9077f65.html,RSVP to Building in 3D Happy H… | Partiful,"Join founders, engineers, technical artists, executives, and builders shaping the future of 3D.

From generative AI and coding agents to new workflows and production pipelines, the way people build in 3D is changing fast. Join a group of builders, technical leaders, and creatives for a candid conversation about what’s actually working and where the industry is heading next.

This is the 5th time we’ve hosted this gathering, and it continues to be one of the best rooms for thoughtful, high-quality conversation around 3D.

This event is a part of #NYTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com."
10,18,S,Register now,79,84,high,open_or_rsvp,0,15,32,13,6,9,0,"product: collaboration evidence; topic: devtools, infra/platform, AI; signal: builders/operators, founders","collaboration evidence, devtools, infra/platform, AI, builders/operators, founders, networking format","near downtown; still high-density, evening friendly","Photon is buying you pho. That's it. We're gathering 50 founders, builders, and agent-obsessed people for a night of free pho and real conversations about agentic messaging - the kind of agents that live inside iMessage, WhatsApp, and Telegram. the plan: 🥢 8:...",5207,"Free Phos, Real Convos. Agents in your DMs",2026-06-04,20:00:00,Thursday,2026-06-04 20:00,New York City,Flatiron,Flatiron,Evening,Photon,Photon,,Photon,photon,False,,https://partiful.com/e/ed2EFWip0do9OuYmVPZI,https://www.tech-week.com/calendar/nyc,200,,https://partiful.com/e/ed2EFWip0do9OuYmVPZI,https://partiful.com/e/ed2EFWip0do9OuYmVPZI,data/source/event_pages/ed2EFWip0do9OuYmVPZI-897c4b2aac.html,"RSVP to Free Phos, Real Convos… | Partiful","Photon is buying you pho. That's it. 

We're gathering 50 founders, builders, and agent-obsessed people for a night of free pho and real conversations about agentic messaging - the kind of agents that live inside iMessage, WhatsApp, and Telegram.

the plan:
🥢 8:00 PM: doors open, grab a seat, meet the Photon team
🍜 8:30 PM: pho is served
🤝 9:30 PM: open networking 

limited spots. RSVP for your free pho 👇

-------------
Photon:
Photon is the easiest way to build and deploy AI agents inside the messaging apps people already use: iMessage, WhatsApp, Telegram, Slack, and more. Our open-source SDK Spectrum handles the infra so you can focus on building agents, not plumbing. 

This event is a part of #NYTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com"
