invite_rank,rank,tier,recommended_action,opportunity_score,practical_score,confidence,access_bucket,buyer_fit_score,product_fit_score,topic_fit_score,signal_score,location_score,schedule_score,negative_score,fit_summary,matched_signals,caveats,description_excerpt,id,name,date,time,weekday,start_datetime_local,city,location,locations,time_bucket,company,primary_host,cohosts,all_hosts,host_keys,invite_only,sponsor_tier,event_url,source_url,fetch_status,fetch_error,final_url,canonical_url,local_html_path,page_title,event_description
1,2,S,Apply first,100,100,high,apply_or_curated,14,23,32,13,8,13,0,"buyer: platform leadership; product: manager/audit reporting, specs/knowledge capture; topic: infra/platform, AI, enterprise; signal: curated room, networking format","platform leadership, manager/audit reporting, specs/knowledge capture, infra/platform, AI, enterprise, curated room, networking format","downtown convenient; peak early-week day, evening friendly; apply or curated","Building AI at the enterprise level? Come meeting your people. Credal AI and the AI Platform Collective are hosting a happy hour for the practitioners actually shipping agents into production: the people navigating agent sprawl, designing governance framework...",5437,Enterprise AI Happy Hour,2026-06-02,18:00:00,Tuesday,2026-06-02 18:00,New York City,SoHo,SoHo,Evening,Credal,Credal,,Credal,credal,False,,https://partiful.com/e/FSzOO6xPn11iqxVdtQ9j?,https://www.tech-week.com/calendar/nyc,200,,https://partiful.com/e/FSzOO6xPn11iqxVdtQ9j,https://partiful.com/e/FSzOO6xPn11iqxVdtQ9j,/Users/nv/repos/0x4007/techweek-2026-event-picker/techweek_nyc_event_pages/FSzOO6xPn11iqxVdtQ9j-279704196c.html,RSVP to Enterprise AI Happy Ho… | Partiful,"Building AI at the enterprise level? Come meeting your people.

Credal AI and the AI Platform Collective are hosting a happy hour for the practitioners actually shipping agents into production: the people navigating agent sprawl, designing governance frameworks, securing data pipelines, and building the internal platforms that enterprises run on.

There exists a large gap between the capabilities of AI and harnessing it at enterprise scale. This is a room for the people who know that gap intimately.

Come ready to talk about what's working, what's not, and what you're thinking about next.

Space is limited and the guest list is curated. RSVP to secure your spot!
______

About Credal AI

Credal.ai is the control plane for enterprise AI: a platform for building, deploying, and governing AI agents at scale. Credal is built around a security-first philosophy: agents that automatically mirror existing access controls, full audit trails, and org-wide governance policies that enforce across every team, every agent, and every chat surface. Customers like MongoDB, Wise, Checkr, and Comcast use Credal to move past proof-of-concept and into production, all without sacrificing compliance or control.

About AI Platform Collective
AI Platform Collective is a community for the people building the AI infrastructure layer inside enterprises, the platform leads, architects, and technology decision-makers shaping how their organizations adopt and scale AI. Apply here: https://aiplatformcollective.com/

This event is a part of #NYTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com."
2,5,S,Apply first,100,98,high,apply_or_curated,36,0,32,23,-5,12,-7,"buyer: CTO audience, technical leaders, executives; topic: infra/platform, AI, enterprise; signal: curated room, private/invite","CTO audience, technical leaders, executives, infra/platform, AI, enterprise, curated room, private/invite, builders/operators","less convenient; peak midweek day, evening friendly; off-ICP signals: off-ICP vertical; apply or curated","Join us for The Tech Leaders Suite - #NYTechWeek, a private executive gathering for CIOs, CISOs, CTOs, and senior technology leaders at Barclays Center. This premium suite experience is designed to spark meaningful connection among leaders driving enterprise...",4197,The Tech Leaders Suite,2026-06-03,19:00:00,Wednesday,2026-06-03 19:00,New York City,Brooklyn,Brooklyn,Evening,Insurgi Urban Concepts,Insurgi Urban Concepts,Optical Diversity Telecom,Insurgi Urban Concepts; Optical Diversity Telecom,insurgi-urban-concepts; optical-diversity-telecom,False,,https://partiful.com/e/UhyErPPxuo2vELIutdGj?,https://www.tech-week.com/calendar/nyc,200,,https://partiful.com/e/UhyErPPxuo2vELIutdGj,https://partiful.com/e/UhyErPPxuo2vELIutdGj,/Users/nv/repos/0x4007/techweek-2026-event-picker/techweek_nyc_event_pages/UhyErPPxuo2vELIutdGj-36523cb09e.html,RSVP to The Tech Leaders Suite… | Partiful,"Join us for The Tech Leaders Suite - #NYTechWeek, a private executive gathering for CIOs, CISOs, CTOs, and senior technology leaders at Barclays Center.

This premium suite experience is designed to spark meaningful connection among leaders driving enterprise transformation across cybersecurity, infrastructure, AI, connectivity, and innovation.

Expect elevated hospitality, strategic conversation, and a thoughtfully curated room of peers and partners during one of the most exciting weeks in tech.

This event is curated by Optical Diversity Telecom, Insurgi Urban Concepts, and Avant Communications. Space is limited. Registration is subject to approval.

This event is a part of #NYTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com. By registering for this event you agree to receive information from our partners."
3,6,S,Apply first,100,97,high,apply_or_curated,42,0,10,18,8,12,0,"buyer: CTO audience, VP engineering audience, engineering leaders; topic: AI; signal: curated room, builders/operators","CTO audience, VP engineering audience, engineering leaders, technical leaders, AI, curated room, builders/operators, networking format","downtown convenient; peak midweek day, evening friendly; apply or curated","The CTO Mixer: Humanizing Tech | #NYTechWeek Happy Hour Co-hosted by Devlane & Merge Conflict AI is rewriting the rules of how engineering teams are built, led, and scaled. But behind every architecture decision and technical strategy is a human, and that hum...",4778,The CTO Mixer: Humanizing Tech | Happy Hour,2026-06-03,17:30:00,Wednesday,2026-06-03 17:30,New York City,East Village,East Village,Evening,Devlane,Devlane,Merge Conflict,Devlane; Merge Conflict,devlane; merge-conflict,False,,https://partiful.com/e/h1hGv0PkskcagJOv5M9K,https://www.tech-week.com/calendar/nyc,200,,https://partiful.com/e/h1hGv0PkskcagJOv5M9K,https://partiful.com/e/h1hGv0PkskcagJOv5M9K,/Users/nv/repos/0x4007/techweek-2026-event-picker/techweek_nyc_event_pages/h1hGv0PkskcagJOv5M9K-dc9af1c02e.html,The CTO Mixer: Humanizing Tech… | Partiful,"The CTO Mixer: Humanizing Tech | #NYTechWeek Happy Hour Co-hosted by Devlane & Merge Conflict

AI is rewriting the rules of how engineering teams are built, led, and scaled. But behind every architecture decision and technical strategy is a human, and that human side is more important than ever.

That's why we're bringing together CTOs, VPs of Engineering, and technical leaders for an evening of real talk, strong drinks, and connections that actually matter.

This isn't a panel. Just a curated room of senior technical leaders navigating the same pressures you are, hiring in a competitive market, adapting to AI-driven change, rethinking how to evaluate and interview talent in a world where not every candidate is what they seem, scaling teams without losing culture, and having the space for honest conversations about it.

If you're a CTO or engineering leader, whether you're deep in a scaling challenge, curious about how your peers are solving it, or just want to be in a room where the conversation is worth having, this is where you want to be on June 3rd. 

🕔 5:30 PM 

📍 East Village, NY - exact location shared closer to the date upon RSVP

This event is part of #NYTechWeek, a week filled with events bringing together the best of NYC’s tech ecosystem."
4,8,S,Apply first,97,96,high,apply_or_curated,17,15,32,9,6,10,0,"buyer: engineering leaders; product: engineering productivity; topic: infra/platform, AI, enterprise; signal: builders/operators, founders","engineering leaders, engineering productivity, infra/platform, AI, enterprise, builders/operators, founders","near downtown; peak midweek day, afternoon; apply or curated","Agent Harnesses in Practice AI agents are advancing quickly, but turning them into dependable business systems requires more than model access. It requires a harness: the specifications, controls, validation layers, tooling, and operating patterns that make a...",4719,Agent Harnesses: What It Takes to Make AI Agents Work in the Enterprise,2026-06-03,16:00:00,Wednesday,2026-06-03 16:00,New York City,Union Square,Union Square,Afternoon,STELLANS.io,Stellans.io,,Stellans.io,stellans-io,False,,https://partiful.com/e/2NP0rZW8BmdGAGUOEhGP?f=1,https://www.tech-week.com/calendar/nyc,200,,https://partiful.com/e/2NP0rZW8BmdGAGUOEhGP?f=1,https://partiful.com/e/2NP0rZW8BmdGAGUOEhGP,/Users/nv/repos/0x4007/techweek-2026-event-picker/techweek_nyc_event_pages/2NP0rZW8BmdGAGUOEhGP-bfc5ccf68c.html,RSVP to Agent Harnesses: What … | Partiful,"Agent Harnesses in Practice

AI agents are advancing quickly, but turning them into dependable business systems requires more than model access. It requires a harness: the specifications, controls, validation layers, tooling, and operating patterns that make agent behavior useful, repeatable, and safe.
This New York Tech Week panel brings together practitioners working at the intersection of AI, software delivery, and enterprise operations to discuss how organizations are approaching this new engineering discipline. We’ll break the space into clear categories, examine where current tools fit, and explore practical patterns for moving from prototype to production.
The conversation will focus on real-world implementation questions: how teams define agent scope, structure workflows, validate outputs, introduce human oversight, and apply these systems inside complex existing environments. 
We are inviting engineering leaders, founders, product and platform teams, and anyone trying to understand where agent systems create real value today.

This event is a part of #NYTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com."
5,9,S,Apply first,94,88,high,apply_or_curated,16,13,10,28,4,10,0,"buyer: CTO audience; product: contribution rewards; topic: AI; signal: curated room, high-signal format","CTO audience, contribution rewards, AI, curated room, high-signal format, builders/operators, founders, networking format","reasonable Manhattan; peak midweek day, afternoon; apply or curated","Join us for the Anthropic Founder Salon: AI 2.0 on Wednesday, June 3, 2026, from 1:30–5PM ET in New York during Tech Week! This exclusive, curated gathering brings together founders and leaders from across the AI ecosystem for a conversation on how advancemen...",5820,Anthropic Founder Salon: Inside the AI-Native Era,2026-06-03,13:30:00,Wednesday,2026-06-03 13:30,New York City,Chelsea,Chelsea,Afternoon,Anthropic,Anthropic,,Anthropic,anthropic,False,,https://partiful.com/e/titPml1Nw0DKwGl9B6CF,https://www.tech-week.com/calendar/nyc,200,,https://partiful.com/e/titPml1Nw0DKwGl9B6CF,https://partiful.com/e/titPml1Nw0DKwGl9B6CF,/Users/nv/repos/0x4007/techweek-2026-event-picker/techweek_nyc_event_pages/titPml1Nw0DKwGl9B6CF-f1efda5730.html,Anthropic Founder Salon: Insid… | Partiful,"Join us for the Anthropic Founder Salon: AI 2.0 on Wednesday, June 3, 2026, from 1:30–5PM ET in New York during Tech Week!

This exclusive, curated gathering brings together founders and leaders from across the AI ecosystem for a conversation on how advancements in model capabilities are rapidly reshaping the startup ecosystem. 

Hear directly from leaders building at the frontier including Gamma, Factory, and CodeRabbit alongside leaders from Anthropic's own product and engineering teams.

Whether you're already building with Claude or just getting started, this is your chance to connect with peers and dive into where the opportunities to build are, how to navigate the rapid advancements in model capabilities, and what current companies are most focused on.

Featuring Speakers:
• Grant Lee, CEO @ Gamma
• Gur Singh, Co-founder @ CodeRabbit
• Eno Reyes, CTO and Co-founder @ Factory
• Henry Shi, Anthropic Labs

Light bites and refreshments will be served throughout the event and networking reception.

Please Note: This is a limited-availability event requiring approval to attend.

___

This event is a part of #NYTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com."
6,11,S,Apply first,90,82,high,apply_or_curated,13,0,23,25,6,9,0,"buyer: engineering/product leaders; topic: infra/platform, AI; signal: high-signal format, builders/operators","engineering/product leaders, infra/platform, AI, high-signal format, builders/operators, buyer-builder room, founders","near downtown; still high-density, evening friendly; apply or curated","Most AI deployments don't deliver what the demo promised. The question is whether that's the vendor's problem, your infrastructure's problem, or a decision that was made six months before you signed anything. On June 4, the vibeFORWARD team is convening 30 en...",5231,AI BUILDERS DINNER,2026-06-04,19:00:00,Thursday,2026-06-04 19:00,New York City,Flatiron,Flatiron,Evening,Vibe Forward,Vibe Forward,,Vibe Forward,vibe-forward,False,,https://partiful.com/e/idltitmjA4ZzL9IuK0Y6,https://www.tech-week.com/calendar/nyc,200,,https://partiful.com/e/idltitmjA4ZzL9IuK0Y6,https://partiful.com/e/idltitmjA4ZzL9IuK0Y6,/Users/nv/repos/0x4007/techweek-2026-event-picker/techweek_nyc_event_pages/idltitmjA4ZzL9IuK0Y6-88885fee06.html,AI BUILDERS DINNER - #NYTechWe… | Partiful,"Most AI deployments don't deliver what the demo promised.

The question is whether that's the vendor's problem, your infrastructure's problem, or a decision that was made six months before you signed anything.

On June 4, the vibeFORWARD team is convening 30 engineering and product leaders, operators, and the founders building the infrastructure they're betting on — for an off-the-record panel and dinner during NYC Tech Week.

Speakers: Presented shortly.

We'll cover the infrastructure trade-offs that don't make it into the pitch deck, the distribution realities that kill otherwise good products, and what responsible deployment actually looks like when the stakes are real.

This is a rare room: the people buying AI and the people building it, having the same conversation at the same time.

Dinner location shared with confirmed guests only. Seated. 30 people. The conversation doesn't stop when the panel does.

Attendance is confirmed by the host. If you're reading this, someone thought you belonged in the room.

This event is a part of #NYTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com"
7,12,S,Apply first,88,87,high,apply_or_curated,29,0,23,9,6,13,0,"buyer: CTO audience, technical leaders; topic: infra/platform, enterprise; signal: builders/operators, networking format","CTO audience, technical leaders, infra/platform, enterprise, builders/operators, networking format","near downtown; peak early-week day, evening friendly; apply or curated","Join Dashlane CTO for an evening of drinks, conversation, and connections with security professionals, identity experts, and tech leaders. Whether you're building the future of authentication, defending enterprise infrastructure, or shaping security strategy,...",5906,Cybersecurity Happy Hour by Dashlane,2026-06-02,18:00:00,Tuesday,2026-06-02 18:00,New York City,Union Square,Union Square,Evening,Dashlane,Dashlane,,Dashlane,dashlane,False,,https://partiful.com/events/ploDSsK5Pxj3iKdDAQk3,https://www.tech-week.com/calendar/nyc,200,,https://partiful.com/e/ploDSsK5Pxj3iKdDAQk3,https://partiful.com/e/ploDSsK5Pxj3iKdDAQk3,/Users/nv/repos/0x4007/techweek-2026-event-picker/techweek_nyc_event_pages/ploDSsK5Pxj3iKdDAQk3-ca14e1dcf9.html,RSVP to Cybersecurity Happy Ho… | Partiful,"Join Dashlane CTO for an evening of drinks, conversation, and connections with security professionals, identity experts, and tech leaders. Whether you're building the future of authentication, defending enterprise infrastructure, or shaping security strategy, this is your room. No slides, no pitches: good people, sharp conversations, and cold drinks in the heart of NYC.

This event is a part of #NYTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com.

RSVPs are reviewed and approved for security and tech professionals to keep the conversation relevant and the room valuable."
8,14,S,Apply first,82,76,high,apply_or_curated,16,0,32,17,2,2,0,"buyer: CTO audience; topic: infra/platform, AI, enterprise; signal: curated room, founders","CTO audience, infra/platform, AI, enterprise, curated room, founders, networking format","midtown reachable; peak early-week day, morning drag, early; apply or curated","Building LLM-powered products in production (not just demos) NYC Tech Week · Jun 1–7, 2026 · Doors 9:00 · Start 9:30 · Finish 11:30 9:00 — Doors open · Registration + coffee Informal networking before the program starts. 30 min 9:30 — Opening keynote · From d...",5369,Building LLM-powered products in production,2026-06-02,09:00:00,Tuesday,2026-06-02 09:00,New York City,Midtown,Midtown,Morning,Nanonit,Nanonit,,Nanonit,nanonit,False,,https://partiful.com/e/8syezYCs3htEpxRB2f9Q,https://www.tech-week.com/calendar/nyc,200,,https://partiful.com/e/8syezYCs3htEpxRB2f9Q,https://partiful.com/e/8syezYCs3htEpxRB2f9Q,/Users/nv/repos/0x4007/techweek-2026-event-picker/techweek_nyc_event_pages/8syezYCs3htEpxRB2f9Q-8eac868ff0.html,RSVP to Building LLM-powered p… | Partiful,"Building LLM-powered products in production (not just demos)

NYC Tech Week · Jun 1–7, 2026 · Doors 9:00 · Start 9:30 · Finish 11:30

9:00 — Doors open · Registration + coffee
Informal networking before the program starts.
30 min

9:30 — Opening keynote · From demo to deployed: what actually changes
What breaks between prototype and production — and what the best teams do differently. Sets the frame for everything that follows.
Speaker: Founding CTO · AI-native startup · 15 min

9:45 — Panel · RAG, fine-tuning, evals — when to use what
The real architectural decisions teams face in production. Cost, latency, reliability — no hype, just hard-earned lessons.
Speakers: ML Engineer · Series B / AI Infra Lead · enterprise / VC · AI portfolio · 25 min + 5 min Q&A

10:15 — Live teardown · Under the hood: CTO reviews 2 real LLM products
A senior CTO reviews 2 pre-submitted products live on stage — probing architecture, stressing the UX, surfacing production gaps. Honest, specific, no sugarcoating. Founders get written feedback within 48hrs.
Speakers: Guest CTO · reviewer / 2 volunteer founders · 10 min per product · 20 min total

10:35 — Pitch competition · LLM in production: 3 founders, 5 minutes each
3 founders pitch their LLM product to a live panel — judged on production architecture, scalability, and defensibility. 5 min pitch + 5 min Q&A each. Mix of curated + open application spots.
Speakers: 2 curated startups / 1 open-application startup / Judges: CTO + 2 investors · 30 min total

11:05 — Closing · Winner announced + key takeaways
Judges share their decision and top observations from the day. Winner receives investor introductions + featured slot at next event.
Speaker: Judge panel · 10 min

11:15 — Open networking
Program ends 11:30. Room open for continued conversations.

This event is a part of #NYTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com"
9,20,S,Apply first,78,72,high,apply_or_curated,17,0,23,14,2,9,0,"buyer: engineering leaders; topic: infra/platform, enterprise; signal: private/invite, builders/operators","engineering leaders, infra/platform, enterprise, private/invite, builders/operators","midtown reachable; still high-density, evening friendly; apply or curated","To build and ship great software, you need precision, balance, and experimentation. The same is true for cocktails. Join engineering, platform, and security leaders for a private, hands-on experience during NYC Tech Week. Step behind the bar for a guided, tea...",4183,Engineering Leaders After Hours: A Build and Ship Cocktail Competition,2026-06-04,18:30:00,Thursday,2026-06-04 18:30,New York City,Midtown,Midtown,Evening,Cloudsmith,Cloudsmith,,Cloudsmith,cloudsmith,False,,https://partiful.com/e/bETmU06uq4TtORng6I1l,https://www.tech-week.com/calendar/nyc,200,,https://partiful.com/e/bETmU06uq4TtORng6I1l,https://partiful.com/e/bETmU06uq4TtORng6I1l,/Users/nv/repos/0x4007/techweek-2026-event-picker/techweek_nyc_event_pages/bETmU06uq4TtORng6I1l-f0ef97ac0a.html,Engineering Leaders After Hour… | Partiful,"To build and ship great software, you need precision, balance, and experimentation. The same is true for cocktails.

Join engineering, platform, and security leaders for a private, hands-on experience during NYC Tech Week.

Step behind the bar for a guided, team-based cocktail competition. Learn the fundamentals from expert mixologists, then team up to create a signature drink and compete for the win.

Creations will be judged on creativity, execution, and flavor, with one team taking the win.

Spots are limited. Request an invite to join us.

​---

This event is a part of #NYTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com."
10,21,S,Apply first,76,74,high,apply_or_curated,7,26,20,4,6,9,0,"buyer: software builders; product: AI coding workflows, specs/knowledge capture; topic: AI, enterprise; signal: founders","software builders, AI coding workflows, specs/knowledge capture, AI, enterprise, founders","near downtown; still high-density, evening friendly; apply or curated","If AI should read codebase structure rather than guess at it, why doesn't it? AI coding tools work by reading source files and inferring architecture. The result is ""almost-usable"" code that requires manual refactoring. The deeper problem isn't the tools — it...",5114,Stop Making AI Guess: When Your Codebase Becomes the Spec,2026-06-04,19:00:00,Thursday,2026-06-04 19:00,New York City,Union Square,Union Square,Evening,"Relevant Context, Inc.","Relevant Context, Inc.",,"Relevant Context, Inc.",relevant-context-inc,False,,https://partiful.com/e/X0u5GrmzvIUTrjoAOgVm,https://www.tech-week.com/calendar/nyc,200,,https://partiful.com/e/X0u5GrmzvIUTrjoAOgVm,https://partiful.com/e/X0u5GrmzvIUTrjoAOgVm,/Users/nv/repos/0x4007/techweek-2026-event-picker/techweek_nyc_event_pages/X0u5GrmzvIUTrjoAOgVm-33d0023e00.html,RSVP to Stop Making AI Guess: … | Partiful,"If AI should read codebase structure rather than guess at it, why doesn't it?

AI coding tools work by reading source files and inferring architecture. The result is ""almost-usable"" code that requires manual refactoring. 

The deeper problem isn't the tools — it's that most frameworks weren't designed to be read structurally. There's no layer for AI to reason against, so the tools are stuck guessing.

SpyneJS is an open-source framework designed for AI-assisted development. It exposes a structural codemap that gives agents a deterministic understanding of application structure.

Refined over six years in enterprise environments, the framework is designed so generated code respects architectural boundaries from the first prompt.

Join us for a live demo of frontend codegen that holds up under peer review. We'll show how agents interact with SpyneJS to produce structurally sound features, then discuss what becomes possible when the codebase itself functions as a working specification.

For developers, founders, and anyone evaluating where serious frontend development goes next.

spynejs.com

This event is part of #NYTechWeek — a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at tech-week.com."
