id,name,date,time,weekday,start_datetime_local,city,location,locations,time_bucket,company,primary_host,cohosts,all_hosts,host_keys,invite_only,sponsor_tier,event_url,partiful_id,source_url,diff_type,opportunity_score,tier,rationale
5720,"Data Center, Power & Enterprise Infrastructure Dinner",2026-06-03,18:00:00,Wednesday,2026-06-03 18:00,New York City,Central Park,Central Park,Evening,"Prosgrow AI, Inc","Prosgrow AI, Inc",,"Prosgrow AI, Inc",prosgrow-ai-inc,False,,https://partiful.com/e/Vkvjr5dBr2FmbI2yK5UB,Vkvjr5dBr2FmbI2yK5UB,https://www.tech-week.com/calendar/nyc,added,73,A,"infra/platform; AI/agents; enterprise/security; high-signal format; neutral location; peak Wednesday, evening; open/rsvp"
6519,SGLang Happy Hour: AI Infra in Finance,2026-06-03,18:00:00,Wednesday,2026-06-03 18:00,New York City,SoHo,SoHo,Evening,SGLang,SGLang,HOF Capital; Arklex AI,SGLang; HOF Capital; Arklex AI,sglang; hof-capital; arklex-ai,False,,https://partiful.com/e/p74X9KDrgoLaDtU8BmvS,p74X9KDrgoLaDtU8BmvS,https://www.tech-week.com/calendar/nyc,added,67,A,"infra/platform; AI/agents; networking format; downtown convenient; peak Wednesday, evening; open/rsvp"
6469,Investing in Agents: The Future of Autonomous AI,2026-06-03,12:00:00,Wednesday,2026-06-03 12:00,New York City,Chelsea,Chelsea,Noon,Google for Startups,Google for Startups,Google Cloud,Google for Startups; Google Cloud,google-for-startups; google-cloud,False,gold,https://partiful.com/e/TjC1eG8CxxAKtYaVxrH2,TjC1eG8CxxAKtYaVxrH2,https://www.tech-week.com/calendar/nyc,added,61,A,"infra/platform; AI/agents; reasonable Manhattan; peak Wednesday, midday; gold sponsor; open/rsvp"
6557,AI Control Room for Regulated Industries: A Private Dinner,2026-06-02,19:00:00,Tuesday,2026-06-02 19:00,New York City,Flatiron,Flatiron,Evening,Jeen.ai,Jeen.ai,,Jeen.ai,jeen-ai,True,,,,https://www.tech-week.com/calendar/nyc,added,59,B,"AI/agents; curated/private; high-signal format; near downtown; peak Tuesday, evening; invite-only"
4931,Tessera Labs x a16z : The Closing Gap (Private Dinner),2026-06-03,17:30:00,Wednesday,2026-06-03 17:30,New York City,Flatiron,Flatiron,Evening,Tessera Labs,Tessera Labs,,Tessera Labs,tessera-labs,False,,https://partiful.com/e/tPlMvExfd6gOdgKCW6O7,tPlMvExfd6gOdgKCW6O7,https://www.tech-week.com/calendar/nyc,added,55,B,"curated/private; high-signal format; near downtown; peak Wednesday, evening; open/rsvp"
6594,"Founders, Investors & Builders — An Intimate NYC Cocktail Evening",2026-06-04,19:00:00,Thursday,2026-06-04 19:00,New York City,Union Square,Union Square,Evening,DDC Enterprise,DDC Enterprise,Alphataraxia,DDC Enterprise; Alphataraxia,ddc-enterprise; alphataraxia,False,,https://partiful.com/e/PhqnW15PCQAdoENB6aNl,PhqnW15PCQAdoENB6aNl,https://www.tech-week.com/calendar/nyc,added,55,B,"founders/operators; enterprise/security; leaders/builders; near downtown; Thursday density, evening; open/rsvp"
6629,Founders x Investors AI Toolkit & Happy Hour,2026-06-02,18:00:00,Tuesday,2026-06-02 18:00,New York City,Midtown,Midtown,Evening,Hatsu,Hatsu,,Hatsu,hatsu,False,,https://partiful.com/e/Vs2eC7nERtgF0PgNWfUo,Vs2eC7nERtgF0PgNWfUo,https://www.tech-week.com/calendar/nyc,added,54,B,"founders/operators; AI/agents; networking format; midtown reachable; peak Tuesday, evening; open/rsvp"
6395,Vesey Ventures & J.P. Morgan dinner: an evening of Agentic Commerce,2026-06-02,17:30:00,Tuesday,2026-06-02 17:30,New York City,Midtown,Midtown,Evening,Vesey Ventures,Vesey Ventures,J.P. Morgan,Vesey Ventures; J.P. Morgan,vesey-ventures; j-p-morgan,False,,https://partiful.com/e/u7UgtF8gTKW9BOKuG7k8,u7UgtF8gTKW9BOKuG7k8,https://www.tech-week.com/calendar/nyc,added,53,B,"AI/agents; high-signal format; midtown reachable; peak Tuesday, evening; open/rsvp"
6742,Pull Up a Chair: A Coffee Salon on What It Would Take to Actually Fix Tech,2026-06-03,13:00:00,Wednesday,2026-06-03 13:00,New York City,East Village,East Village,Afternoon,"The Make Sense Podcast w/ Lindsay T., Lady Engineer®","The Make Sense Podcast w/ Lindsay T., Lady Engineer®",Leap_year; elsuss,"The Make Sense Podcast w/ Lindsay T., Lady Engineer®; Leap_year; elsuss",the-make-sense-podcast-w-lindsay-t-lady-engineer; leap-year; elsuss,False,,https://partiful.com/e/AzVoaw82pHkJLwh4XtEy,AzVoaw82pHkJLwh4XtEy,https://www.tech-week.com/calendar/nyc,added,53,B,"software builders; high-signal format; downtown convenient; peak Wednesday, afternoon; open/rsvp"
6493,"The builder’s table: AI finance leaders lunch with Vayu, Base44 & PwC",2026-06-01,14:30:00,Monday,2026-06-01 14:30,New York City,Midtown,Midtown,Afternoon,PwC,PwC,Vayu; Base44,PwC; Vayu; Base44,pwc; vayu; base44,False,gold,https://partiful.com/e/MQvS9RrcXl6HcAEzfzhg,MQvS9RrcXl6HcAEzfzhg,https://www.tech-week.com/calendar/nyc,added,52,B,"AI/agents; leaders/builders; midtown reachable; early-week push, afternoon; gold sponsor; open/rsvp"
