calendar,techweek_id,calendar_block_id,partiful_id,rerank_id,entry_type,status,category,start,end,actual_start,actual_end,title,location,venue_query,venue_precision,route_mode,travel_minutes,route_details,subway_segments,transit_risk,note,rank,tier,opportunity_score,event_url
schedule,TW-6408,TW-6408-TRAVEL-IN,FHiuNwzr13e3YBI4ssUX,,travel,registered,travel,2026-06-01 13:22,2026-06-01 14:00,2026-06-01 13:22,2026-06-01 14:00,[TW-6408-TRAVEL-IN] FiDi home base -> Beyond the Spec Masterclass: Engineering in the Age of Agents,FiDi home base -> Flatiron,FiDi home base -> Flatiron,,subway+walk,38,Walk 0 min to Wall St (2/3); subway 31 min; walk 2 min from 23 St-Baruch College (4/6); includes 5 min buffer.,2 Wall St to 28 St; 4 28 St to 23 St-Baruch College,Minor delays possible,,,,,https://partiful.com/e/FHiuNwzr13e3YBI4ssUX
reference,TW-6408,TW-6408-REFERENCE,FHiuNwzr13e3YBI4ssUX,6408,event,applied,primary,2026-06-01 14:00,2026-06-01 15:00,2026-06-01 14:00,2026-06-01 15:00,[TW-6408] [PENDING PRIMARY] Beyond the Spec Masterclass: Engineering in the Age of Agents,Flatiron,"IBM One Madison Avenue, 1 Madison Ave,, New York, NY 10010",exact_from_partiful_maps,,,,,,Wait for host approval Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.,24,S,74,https://partiful.com/e/FHiuNwzr13e3YBI4ssUX
schedule,TW-6408,TW-6408-SCHEDULE,FHiuNwzr13e3YBI4ssUX,6408,event,applied,primary,2026-06-01 14:00,2026-06-01 15:00,2026-06-01 14:00,2026-06-01 15:00,[TW-6408] [PENDING] Beyond the Spec Masterclass: Engineering in the Age of Agents,Flatiron,"IBM One Madison Avenue, 1 Madison Ave,, New York, NY 10010",exact_from_partiful_maps,,,,,,Wait for host approval Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.,24,S,74,https://partiful.com/e/FHiuNwzr13e3YBI4ssUX
schedule,TW-44,TW-44-TRAVEL-IN,xowd9F3kB7mPFN1luUwY,,travel,registered,travel,2026-06-01 15:50,2026-06-01 16:00,2026-06-01 15:50,2026-06-01 16:00,[TW-44-TRAVEL-IN] Beyond the Spec Masterclass: Engineering in the Age of Agents -> From Vibe Coding to AI-Driven Development,"Beyond the Spec Masterclass: Engineering in the Age of Agents -> WeWork, 135 Madison Ave, New York, NY","Beyond the Spec Masterclass: Engineering in the Age of Agents -> WeWork, 135 Madison Ave, New York, NY",,walk,10,Walk approx 10 min / 767 m using OSM-geocoded points.,,,,,,,https://partiful.com/e/xowd9F3kB7mPFN1luUwY
reference,TW-44,TW-44-REFERENCE,xowd9F3kB7mPFN1luUwY,44,event,applied,primary,2026-06-01 16:00,2026-06-01 17:00,2026-06-01 16:00,2026-06-01 17:00,[TW-44] [PENDING PRIMARY] From Vibe Coding to AI-Driven Development,"WeWork, 135 Madison Ave, New York, NY","WeWork, 135 Madison Ave, New York, NY",exact_from_signup_status,,,,,,Wait for host approval Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=2; plusOne=TBD.,29,A,71,https://partiful.com/e/xowd9F3kB7mPFN1luUwY
schedule,TW-44,TW-44-SCHEDULE,xowd9F3kB7mPFN1luUwY,44,event,applied,primary,2026-06-01 16:00,2026-06-01 17:00,2026-06-01 16:00,2026-06-01 17:00,[TW-44] [PENDING] From Vibe Coding to AI-Driven Development,"WeWork, 135 Madison Ave, New York, NY","WeWork, 135 Madison Ave, New York, NY",exact_from_signup_status,,,,,,Wait for host approval Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=2; plusOne=TBD.,29,A,71,https://partiful.com/e/xowd9F3kB7mPFN1luUwY
reference,TW-5110,TW-5110-REFERENCE,dmFBKIxzn2LdFmktqas8,5110,event,applied,backup,2026-06-01 17:00,2026-06-01 18:30,2026-06-01 17:00,2026-06-01 18:30,[TW-5110] [PENDING BACKUP] Slack x Amplitude: AI at work,Tribeca,"Fabrik, 16 Vestry St, New York, NY 10013",exact_from_partiful_maps,,,,,,Wait for host approval Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.,180,B,53,https://partiful.com/e/dmFBKIxzn2LdFmktqas8
schedule,TW-5978,TW-5978-TRAVEL-IN,OF1vP5L8dtXKRtInyWKs,,travel,registered,travel,2026-06-01 17:28,2026-06-01 18:00,2026-06-01 17:28,2026-06-01 18:00,[TW-5978-TRAVEL-IN] From Vibe Coding to AI-Driven Development -> Open Source Must Win,From Vibe Coding to AI-Driven Development -> Lower East Side,From Vibe Coding to AI-Driven Development -> Lower East Side,,subway+walk,32,Walk 3 min to 33 St (4/6); subway 23 min; walk 1 min from Delancey St-Essex St (F); includes 5 min buffer.,4 33 St to Canal St; J Canal St to Delancey St-Essex St,Minor delays possible,,,,,https://partiful.com/e/OF1vP5L8dtXKRtInyWKs?c=s6u4EYds
reference,TW-5962,TW-5962-REFERENCE,09a0qPKv0cSOIOSGxjTQ,5962,event,registered,backup,2026-06-01 18:00,2026-06-01 21:00,2026-06-01 18:00,2026-06-01 21:00,[TW-5962] [REG BACKUP] Software for Hardware: The Tools Powering Robotics & Embodied AI,"Civic Hall, 124 E 14th St 2nd Floor, New York, NY","Civic Hall, 124 E 14th St, New York, NY 10003",exact_from_partiful_maps,,,,,,Partiful registered only. Secondary Luma checkout is $20 and was explicitly skipped. Partiful registered; skip paid Luma checkout Submitted via Partiful API; rsvpStatus=GOING; count=1; plusOne=none. Secondary Luma link requires $20 paid ticket; user explicitly said do not complete checkout.,13,S,86,https://partiful.com/e/09a0qPKv0cSOIOSGxjTQ
reference,TW-5978,TW-5978-REFERENCE,OF1vP5L8dtXKRtInyWKs,5978,event,applied,primary,2026-06-01 18:00,2026-06-01 21:00,2026-06-01 18:00,2026-06-01 21:00,[TW-5978] [PENDING PRIMARY] Open Source Must Win,Lower East Side,"Delancey St Essex St, New York, NY",approx_neighborhood_hidden,,,,,,"If this is not approved, use registered backup NYC B2B at Skinos instead. Wait for host approval Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=2; plusOne=TBD.",37,A,64,https://partiful.com/e/OF1vP5L8dtXKRtInyWKs?c=s6u4EYds
