metadata_rank,rank,tier,recommended_action,opportunity_score,practical_score,confidence,access_bucket,buyer_fit_score,product_fit_score,topic_fit_score,signal_score,location_score,schedule_score,negative_score,fit_summary,matched_signals,caveats,description_excerpt,id,name,date,time,weekday,start_datetime_local,city,location,locations,time_bucket,company,primary_host,cohosts,all_hosts,host_keys,invite_only,sponsor_tier,event_url,source_url,fetch_status,fetch_error,final_url,canonical_url,local_html_path,page_title,event_description
1,488,C,Low priority,36,24,medium from metadata,metadata_only_no_url,0,0,10,17,2,13,0,"topic: AI; signal: private/invite, high-signal format","AI, private/invite, high-signal format","midtown reachable; peak early-week day, evening friendly; no fetched description; metadata only no url",,6271,Is AI the New Calculator? A Private Dinner on AI in Schools,2026-06-02,18:00:00,Tuesday,2026-06-02 18:00,New York City,Midtown,Midtown,Evening,Anyway,Anyway,,Anyway,anyway,False,,,https://www.tech-week.com/calendar/nyc,,,,,,,
2,616,C,Low priority,31,19,low from metadata,metadata_only_no_url,0,0,18,0,8,11,0,"topic: AI, crypto/web3","AI, crypto/web3","downtown convenient; peak early-week day, afternoon; no fetched description; metadata only no url",,5685,LLM Tokenomics – the economics of LLM token usage,2026-06-02,16:00:00,Tuesday,2026-06-02 16:00,New York City,Financial District,Financial District,Afternoon,Zideas LLC,Zideas LLC,,Zideas LLC,zideas-llc,False,,,https://www.tech-week.com/calendar/nyc,,,,,,,
3,661,D,Skip,29,17,low from metadata,metadata_only_no_url,0,0,10,5,8,12,0,topic: AI; signal: builders/operators,"AI, builders/operators","downtown convenient; peak midweek day, evening friendly; no fetched description; metadata only no url",,6211,Early Builders in the AI Era,2026-06-03,18:00:00,Wednesday,2026-06-03 18:00,New York City,SoHo,SoHo,Evening,F2 Venture Capital,F2 Venture Capital,Microsoft,F2 Venture Capital; Microsoft,f2-venture-capital; microsoft,False,,,https://www.tech-week.com/calendar/nyc,,,,,,,
4,722,D,Skip,27,15,low from metadata,metadata_only_no_url,0,0,0,13,8,12,0,"signal: high-signal format, builders/operators","high-signal format, builders/operators","downtown convenient; peak midweek day, evening friendly; no fetched description; metadata only no url",,6259,VC Talent Leader Dinner,2026-06-03,18:30:00,Wednesday,2026-06-03 18:30,New York City,Lower East Side,Lower East Side,Evening,Getro (a Findem company),Getro (a Findem company),Pyxis,Getro (a Findem company); Pyxis,getro-a-findem-company; pyxis,False,,,https://www.tech-week.com/calendar/nyc,,,,,,,
5,933,D,Skip,19,7,low from metadata,metadata_only_no_url,0,0,10,0,6,9,0,topic: AI,AI,"near downtown; still high-density, evening friendly; no fetched description; metadata only no url",,6301,Pixels & Pints,2026-06-04,18:00:00,Thursday,2026-06-04 18:00,New York City,Flatiron,Flatiron,Evening,CambrianEdge.ai,CambrianEdge.ai,,CambrianEdge.ai,cambrianedge-ai,False,,,https://www.tech-week.com/calendar/nyc,,,,,,,
6,990,D,Skip,17,5,low from metadata,metadata_only_no_url,7,0,0,5,2,9,0,buyer: executives; signal: builders/operators,"executives, builders/operators","midtown reachable; still high-density, evening friendly; no fetched description; metadata only no url",,6427,Executive Data Council: Evening Roundtables,2026-06-04,17:30:00,Thursday,2026-06-04 17:30,New York City,Midtown,Midtown,Evening,SYNTHESIS,SYNTHESIS,,SYNTHESIS,synthesis,False,,,https://www.tech-week.com/calendar/nyc,,,,,,,
7,991,D,Skip,17,5,low from metadata,metadata_only_no_url,0,0,0,12,2,9,0,"signal: high-signal format, networking format","high-signal format, networking format","midtown reachable; still high-density, evening friendly; no fetched description; metadata only no url",,6405,NYC Investor Networking Salon,2026-06-04,18:00:00,Thursday,2026-06-04 18:00,New York City,Midtown,Midtown,Evening,aiRaiz Inc,aiRaiz Inc,aiRaiz,aiRaiz Inc; aiRaiz,airaiz-inc; airaiz,False,,,https://www.tech-week.com/calendar/nyc,,,,,,,
8,1042,D,Skip,15,3,low from metadata,metadata_only_no_url,0,0,10,0,2,9,0,topic: AI,AI,"midtown reachable; still high-density, evening friendly; no fetched description; metadata only no url",,6161,NYC Vide Debugging Party,2026-06-04,19:00:00,Thursday,2026-06-04 19:00,New York City,Midtown,Midtown,Evening,Sherlocks AI,Sherlocks AI,,Sherlocks AI,sherlocks-ai,False,,,https://www.tech-week.com/calendar/nyc,,,,,,,
9,1063,D,Skip,14,2,low from metadata,metadata_only_no_url,0,0,0,0,8,12,0,weak explicit ICP signals,,"downtown convenient; peak midweek day, evening friendly; no fetched description; metadata only no url",,5504,How to Live Longer & Happier: An evening on the future of personal intelligence.,2026-06-03,18:30:00,Wednesday,2026-06-03 18:30,New York City,SoHo,SoHo,Evening,moccet,moccet,,moccet,moccet,False,,,https://www.tech-week.com/calendar/nyc,,,,,,,
10,1064,D,Skip,14,2,low from metadata,metadata_only_no_url,0,0,0,0,8,12,0,weak explicit ICP signals,,"downtown convenient; peak midweek day, evening friendly; no fetched description; metadata only no url",,6351,NY Tech Week: First (Reality) Check,2026-06-03,19:00:00,Wednesday,2026-06-03 19:00,New York City,Tribeca,Tribeca,Evening,For The Firsts,For The Firsts,,For The Firsts,for-the-firsts,False,,,https://www.tech-week.com/calendar/nyc,,,,,,,
11,1096,D,Skip,13,1,low from metadata,metadata_only_no_url,0,0,0,0,6,13,0,weak explicit ICP signals,,"near downtown; peak early-week day, evening friendly; no fetched description; metadata only no url",,6168,Beyond the Copilot: Navigating the Shift to Autonomous IT and Intelligent Defense,2026-06-02,17:00:00,Tuesday,2026-06-02 17:00,New York City,Flatiron,Flatiron,Evening,SuperOps,SuperOps,,SuperOps,superops,False,,,https://www.tech-week.com/calendar/nyc,,,,,,,
12,1097,D,Skip,13,1,low from metadata,metadata_only_no_url,0,0,10,0,8,1,0,topic: AI,AI,"downtown convenient; peak midweek day, morning drag, early; no fetched description; metadata only no url",,4202,Agentic Finance Summit,2026-06-03,09:00:00,Wednesday,2026-06-03 09:00,New York City,SoHo,SoHo,Morning,Party Action People,Party Action People,Microsoft,Party Action People; Microsoft,party-action-people; microsoft,False,,,https://www.tech-week.com/calendar/nyc,,,,,,,
13,1098,D,Skip,13,1,low from metadata,metadata_only_no_url,0,0,10,0,2,7,0,topic: AI,AI,"midtown reachable; still high-density, afternoon; no fetched description; metadata only no url",,5634,Data Driven Dealmaking: AI’s Role in Modern Tech Transactions,2026-06-04,15:00:00,Thursday,2026-06-04 15:00,New York City,Midtown,Midtown,Afternoon,Weaver,Weaver,1 Business World; Fox Rothschild; VNTR,Weaver; 1 Business World; Fox Rothschild; VNTR,weaver; 1-business-world; fox-rothschild; vntr,False,,,https://www.tech-week.com/calendar/nyc,,,,,,,
14,1117,D,Skip,12,0,low from metadata,metadata_only_no_url,0,0,10,0,2,6,0,topic: AI,AI,"midtown reachable; taper day, evening friendly; no fetched description; metadata only no url",,5759,"The Missing Record: Memory, Power, and the Communities AI Was Never Trained to Know",2026-06-05,19:00:00,Friday,2026-06-05 19:00,New York City,Midtown,Midtown,Evening,QuarterMill,QuarterMill,,QuarterMill,quartermill,False,,,https://www.tech-week.com/calendar/nyc,,,,,,,
15,1164,D,Skip,10,0,low from metadata,metadata_only_no_url,0,0,0,0,4,12,0,weak explicit ICP signals,,"reasonable Manhattan; peak midweek day, evening friendly; no fetched description; metadata only no url",,6201,Data and Wearables for Female Health,2026-06-03,18:00:00,Wednesday,2026-06-03 18:00,New York City,Chelsea,Chelsea,Evening,Kellie Clover,Kellie Clover,The Limit,Kellie Clover; The Limit,kellie-clover; the-limit,False,,,https://www.tech-week.com/calendar/nyc,,,,,,,
16,1165,D,Skip,10,0,low from metadata,metadata_only_no_url,0,0,0,8,8,0,0,signal: high-signal format,high-signal format,"downtown convenient; weekend, evening friendly; no fetched description; metadata only no url",,78,Investor Dinner by 165 Global,2026-06-07,20:00:00,Sunday,2026-06-07 20:00,New York City,Financial District,Financial District,Evening,165 Global,165 Global,,165 Global,165-global,False,,,https://www.tech-week.com/calendar/nyc,,,,,,,
17,1214,D,Skip,7,0,low from metadata,metadata_only_no_url,0,0,0,4,8,13,-12,signal: founders,founders,"downtown convenient; peak early-week day, evening friendly; off-ICP signals: wellness/social; no fetched description; metadata only no url",,5640,"""Tech Week Founder Lab: Scale, Innovate & Thrive""",2026-06-02,17:00:00,Tuesday,2026-06-02 17:00,New York City,Lower East Side,Lower East Side,Evening,Karcic Partners,Karcic Partners,Mark Wellness; The Front Yard at Pace University,Karcic Partners; Mark Wellness; The Front Yard at Pace University,karcic-partners; mark-wellness; the-front-yard-at-pace-university,False,,,https://www.tech-week.com/calendar/nyc,,,,,,,
18,1244,D,Skip,5,0,low from metadata,metadata_only_no_url,0,0,0,0,0,11,0,weak explicit ICP signals,,"neutral location; peak early-week day, afternoon; no fetched description; metadata only no url",,5053,Working,2026-06-02,16:00:00,Tuesday,2026-06-02 16:00,New York City,Central Park,Central Park,Afternoon,The Council Capital,The Council Capital,,The Council Capital,the-council-capital,False,,,https://www.tech-week.com/calendar/nyc,,,,,,,
19,1245,D,Skip,5,0,low from metadata,metadata_only_no_url,0,0,0,0,4,7,0,weak explicit ICP signals,,"reasonable Manhattan; still high-density, afternoon; no fetched description; metadata only no url",,5794,The City Hack The State,2026-06-04,14:00:00,Thursday,2026-06-04 14:00,New York City,Meatpacking District,Meatpacking District,Afternoon,Johnson Edman Advertising,Johnson Edman Advertising,CRITICAL ASSET,Johnson Edman Advertising; CRITICAL ASSET,johnson-edman-advertising; critical-asset,False,,,https://www.tech-week.com/calendar/nyc,,,,,,,
20,1258,D,Skip,4,0,low from metadata,metadata_only_no_url,0,0,0,4,-5,11,0,signal: networking format,networking format,"less convenient; early-week push, evening friendly; no fetched description; metadata only no url",,6200,Japan Startup Mixer @ Jungle of Invention,2026-06-01,18:00:00,Monday,2026-06-01 18:00,New York City,Brooklyn,Brooklyn,Evening,FreakOut HD,FreakOut HD,,FreakOut HD,freakout-hd,False,,,https://www.tech-week.com/calendar/nyc,,,,,,,
21,1269,D,Skip,3,0,low from metadata,metadata_only_no_url,0,0,0,9,2,7,-9,signal: private/invite,private/invite,"midtown reachable; still high-density, afternoon; off-ICP signals: finance/investor vertical; no fetched description; metadata only no url",,5674,From Start to Scale | Women Running Businesses,2026-06-04,13:00:00,Thursday,2026-06-04 13:00,New York City,Hudson Yards,Hudson Yards,Afternoon,Bernstein Private Wealth,Bernstein Private Wealth Management,Collected Company; C10 Labs,Collected Company; Bernstein Private Wealth Management; C10 Labs,collected-company; bernstein-private-wealth-management; c10-labs,False,,,https://www.tech-week.com/calendar/nyc,,,,,,,
22,1270,D,Skip,3,0,low from metadata,metadata_only_no_url,0,0,0,0,2,7,0,weak explicit ICP signals,,"midtown reachable; still high-density, afternoon; no fetched description; metadata only no url",,6077,"The Intelligent Workflow Playbook Event, featuring John Harbaugh",2026-06-04,16:00:00,Thursday,2026-06-04 16:00,New York City,Midtown,Midtown,Afternoon,Tines,Tines,,Tines,tines,False,,,https://www.tech-week.com/calendar/nyc,,,,,,,
23,1277,D,Skip,2,0,low from metadata,metadata_only_no_url,0,0,0,0,6,9,-7,weak explicit ICP signals,,"near downtown; early-week push, afternoon; off-ICP signals: off-ICP vertical; no fetched description; metadata only no url",,6429,Giga Energy Power Hour @ New York TechWeek,2026-06-01,16:00:00,Monday,2026-06-01 16:00,New York City,Flatiron,Flatiron,Afternoon,Giga Energy,Giga Energy,,Giga Energy,giga-energy,False,,,https://www.tech-week.com/calendar/nyc,,,,,,,
24,1293,D,Skip,1,0,low from metadata,metadata_only_no_url,0,0,10,0,8,-11,0,topic: AI,AI,"downtown convenient; weekend, morning drag, early; no fetched description; metadata only no url",,5723,AI Investment Summit @ Wall Street,2026-06-07,09:00:00,Sunday,2026-06-07 09:00,New York City,Financial District,Financial District,Morning,SINBAD CAPITAL.COM,SINBAD CAPITAL.COM,Zeytoon Ventures; AI insiders; AIX2,SINBAD CAPITAL.COM; Zeytoon Ventures; AI insiders; AIX2,sinbad-capital-com; zeytoon-ventures; ai-insiders; aix2,False,,,https://www.tech-week.com/calendar/nyc,,,,,,,
25,1320,D,Skip,0,0,low from metadata,metadata_only_no_url,0,0,0,0,-8,-3,0,weak explicit ICP signals,,"virtual; early-week push, morning drag, very early; no fetched description; metadata only no url",,5609,Synthetic Gene-Based Neurotransmitter Optimization Systems,2026-06-01,08:00:00,Monday,2026-06-01 08:00,New York City,Virtual (NYC),Virtual (NYC),Morning,Centro de Rehabilitacion Neuropsicologica,Centro de Rehabilitacion Neuropsicologica,,Centro de Rehabilitacion Neuropsicologica,centro-de-rehabilitacion-neuropsicologica,False,,,https://www.tech-week.com/calendar/nyc,,,,,,,
26,1322,D,Skip,0,0,low from metadata,metadata_only_no_url,0,0,0,0,-5,3,0,weak explicit ICP signals,,"less convenient; early-week push, morning drag; no fetched description; metadata only no url",,6160,The Digital Twin Experience: Powered by HeyGen,2026-06-01,10:00:00,Monday,2026-06-01 10:00,New York City,Bronx,Bronx,Morning,Avantgarde Communications,Avantgarde Communications,,Avantgarde Communications,avantgarde-communications,False,,,https://www.tech-week.com/calendar/nyc,,,,,,,
27,1343,D,Skip,0,0,low from metadata,metadata_only_no_url,0,0,0,0,-5,4,0,weak explicit ICP signals,,"less convenient; peak midweek day, morning drag; no fetched description; metadata only no url",,6205,Achieving Operational  Excellence,2026-06-03,10:00:00,Wednesday,2026-06-03 10:00,New York City,Queens,Queens,Morning,Ainsley Capital,Ainsley Capital,Ainsley Health; Kinetik,Ainsley Capital; Ainsley Health; Kinetik,ainsley-capital; ainsley-health; kinetik,False,,,https://www.tech-week.com/calendar/nyc,,,,,,,
