entry_type,bucket,start,end,title,location,event_id,rank,tier,opportunity_score,venue_precision,venue_query,route_mode,travel_minutes,route_details,subway_segments,transit_risk,note,event_url,fit_summary
travel,primary,2026-06-01 13:21,2026-06-01 14:00,Travel to Beyond the Spec Masterclass: Engineering in the Age of Agents,"15 Cliff Street, New York, NY 10038 -> Flatiron",6408,24,S,74,exact_from_partiful_maps,"IBM One Madison Avenue, 1 Madison Ave,, New York, NY 10010",subway+walk,39,Walk 3 min to Fulton St (2/3); subway 29 min; walk 2 min from 23 St-Baruch College (4/6); includes 5 min buffer.,2 Fulton St to 28 St; 4 28 St to 23 St-Baruch College,Minor delays possible,,https://partiful.com/e/FHiuNwzr13e3YBI4ssUX,
event,primary,2026-06-01 14:00,2026-06-01 15:00,Beyond the Spec Masterclass: Engineering in the Age of Agents,Flatiron,6408,24,S,74,exact_from_partiful_maps,"IBM One Madison Avenue, 1 Madison Ave,, New York, NY 10010",,,,,,Direct AI engineering-practice session near downtown.,https://partiful.com/e/FHiuNwzr13e3YBI4ssUX,"buyer: technical leads, software builders; product: AI coding workflows, specs/knowledge capture; topic: AI"
travel,primary,2026-06-01 15:50,2026-06-01 16:00,Travel to From Vibe Coding to AI-Driven Development,Beyond the Spec Masterclass: Engineering in the Age of Agents -> Midtown,44,29,A,71,exact_from_partiful_maps,"WeWork, 135 Madison Ave, New York, NY 10016",walk,10,Walk approx 10 min / 767 m using OSM-geocoded points.,,,,https://partiful.com/e/xowd9F3kB7mPFN1luUwY,
event,primary,2026-06-01 16:00,2026-06-01 17:00,From Vibe Coding to AI-Driven Development,Midtown,44,29,A,71,exact_from_partiful_maps,"WeWork, 135 Madison Ave, New York, NY 10016",,,,,,Useful AI-driven development session; easy hop from Flatiron.,https://partiful.com/e/xowd9F3kB7mPFN1luUwY,"buyer: technical leaders; product: engineering workflows; topic: AI, enterprise; signal: builders/operators, founders"
travel,primary,2026-06-01 17:28,2026-06-01 18:00,Travel to Open Source Must Win,From Vibe Coding to AI-Driven Development -> Lower East Side,5978,37,A,64,approx_neighborhood_hidden,"Delancey St Essex St, New York, NY",subway+walk,32,Walk 3 min to 33 St (4/6); subway 23 min; walk 1 min from Delancey St-Essex St (F); includes 5 min buffer.,4 33 St to Canal St; J Canal St to Delancey St-Essex St,Minor delays possible,,https://partiful.com/e/OF1vP5L8dtXKRtInyWKs?c=s6u4EYds,
event,backup,2026-06-01 18:00,2026-06-01 21:00,Software for Hardware: The Tools Powering Robotics & Embodied AI,Union Square,5962,13,S,86,exact_from_partiful_maps,"Civic Hall, 124 E 14th St, New York, NY 10003",,,Tentative/apply or backup event; compare against the primary route before accepting.,,,"Strong technical founder room, but less directly Accolades-shaped than Open Source Must Win.",https://partiful.com/e/09a0qPKv0cSOIOSGxjTQ,"buyer: technical leaders, software builders; topic: devtools, infra/platform, AI; signal: builders/operators, founders"
event,primary,2026-06-01 18:00,2026-06-01 21:00,Open Source Must Win,Lower East Side,5978,37,A,64,approx_neighborhood_hidden,"Delancey St Essex St, New York, NY",,,,,,"Best Monday evening fit for open-source founders, maintainers, and builders.",https://partiful.com/e/OF1vP5L8dtXKRtInyWKs?c=s6u4EYds,"product: open source fit; topic: infra/platform, AI; signal: builders/operators, founders"
travel,primary,2026-06-01 21:00,2026-06-01 21:30,Travel home,"Open Source Must Win -> 15 Cliff Street, New York, NY 10038",,,,,exact_home_base,"15 Cliff Street, New York, NY 10038",walk,30,Walk approx 30 min / 2327 m using OSM-geocoded points.,,,,,
travel,primary,2026-06-02 11:12,2026-06-02 12:00,Travel to How to Write a Book on AI in Enterprise SDLC While Patterns Keep Changing,"15 Cliff Street, New York, NY 10038 -> Midtown",4551,33,A,68,approx_neighborhood_hidden,"Bryant Park, New York, NY",subway+walk,48,Walk 3 min to Fulton St (2/3); subway 38 min; walk 2 min from 42 St-Bryant Pk (B/D/F/M); includes 5 min buffer.,2 Fulton St to Times Sq-42 St; R Times Sq-42 St to 46 St; F 46 St to 42 St-Bryant Pk,Minor delays possible,,https://partiful.com/e/M7pXmV8sOXT11yHb9pKw,
event,primary,2026-06-02 12:00,2026-06-02 13:45,How to Write a Book on AI in Enterprise SDLC While Patterns Keep Changing,Midtown,4551,33,A,68,approx_neighborhood_hidden,"Bryant Park, New York, NY",,,,,,Enterprise SDLC context before the stronger Tuesday afternoon/evening block.,https://partiful.com/e/M7pXmV8sOXT11yHb9pKw,"product: collaboration evidence, engineering workflows; topic: AI, enterprise; signal: networking format"
